rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,key_press,success_time,board_size,board_set,board_no,success
10985,"{"Q0":"buia90"}",survey-text,0,10990,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
10545,NULL,instructions,1,21536,0.0-1.0,NULL,NULL,NULL,NULL,NULL,NULL
59138,NULL,instructions,2,80674,0.0-2.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
4146,NULL,html-keyboard-response,3,84821,0.0-2.0-1.0,67,NULL,NULL,NULL,NULL,NULL
12219,NULL,instructions,4,97040,0.0-3.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,5,150990,0.0-4.0,NULL,53948,boards2x3,d,0,1
21613,NULL,instructions,6,172603,0.0-5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,7,194792,0.0-6.0,NULL,22187,boards2x2,c,3,1
NULL,NULL,sudoku_trial,8,285937,0.0-7.0,NULL,91141,boards2x3,a,4,1
NULL,NULL,sudoku_trial,9,313064,0.0-8.0,NULL,27127,boards2x2,b,1,1
NULL,NULL,sudoku_trial,10,400555,0.0-9.0,NULL,87488,boards2x3,b,1,1
NULL,NULL,sudoku_trial,11,521762,0.0-10.0,NULL,NULL,boards2x4,c,2,
NULL,NULL,sudoku_trial,12,643226,0.0-11.0,NULL,NULL,boards2x4,b,1,
NULL,NULL,sudoku_trial,13,730942,0.0-12.0,NULL,87713,boards2x3,c,3,1
NULL,NULL,sudoku_trial,14,852297,0.0-13.0,NULL,NULL,boards2x4,a,3,
NULL,NULL,sudoku_trial,15,873589,0.0-14.0,NULL,21290,boards2x2,a,0,1
1419,NULL,instructions,16,875008,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL
77603,"{"Q0":"BOIA76"}",survey-text,0,77608,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
8473,NULL,instructions,1,86082,0.0-1.0,NULL,NULL,NULL,NULL,NULL,NULL
8498,NULL,instructions,2,94580,0.0-2.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
4199,NULL,html-keyboard-response,3,98782,0.0-2.0-1.0,67,NULL,NULL,NULL,NULL,NULL
11134,NULL,instructions,4,109917,0.0-3.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,5,147300,0.0-4.0,NULL,37374,boards2x3,d,0,1
10413,NULL,instructions,6,157714,0.0-5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,7,215975,0.0-6.0,NULL,58254,boards2x3,c,0,1
NULL,NULL,sudoku_trial,8,234371,0.0-7.0,NULL,18393,boards2x2,c,4,1
NULL,NULL,sudoku_trial,9,289525,0.0-8.0,NULL,55148,boards2x3,b,1,1
NULL,NULL,sudoku_trial,10,415116,0.0-9.0,NULL,NULL,boards2x4,c,1,
NULL,NULL,sudoku_trial,11,482434,0.0-10.0,NULL,67312,boards2x3,a,4,1
NULL,NULL,sudoku_trial,12,626782,0.0-11.0,NULL,NULL,boards2x4,a,1,
NULL,NULL,sudoku_trial,13,655698,0.0-12.0,NULL,28913,boards2x2,b,3,1
NULL,NULL,sudoku_trial,14,671827,0.0-13.0,NULL,16128,boards2x2,a,0,1
NULL,NULL,sudoku_trial,15,794214,0.0-14.0,NULL,122384,boards2x4,b,3,1
4633,NULL,instructions,16,798847,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL
9883,"{"Q0":"gala86"}",survey-text,0,9895,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
12237,NULL,instructions,1,22133,0.0-1.0,NULL,NULL,NULL,NULL,NULL,NULL
125177,NULL,instructions,2,147310,0.0-2.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
2867,NULL,html-keyboard-response,3,150179,0.0-2.0-1.0,67,NULL,NULL,NULL,NULL,NULL
23952,NULL,instructions,4,174131,0.0-3.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,5,253690,0.0-4.0,NULL,79556,boards2x3,d,0,1
15150,NULL,instructions,6,268840,0.0-5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,7,406396,0.0-6.0,NULL,NULL,boards2x3,a,2,
NULL,NULL,sudoku_trial,8,528381,0.0-7.0,NULL,NULL,boards2x4,c,3,
NULL,NULL,sudoku_trial,9,626160,0.0-8.0,NULL,97778,boards2x3,c,4,1
NULL,NULL,sudoku_trial,10,748394,0.0-9.0,NULL,NULL,boards2x4,b,0,
NULL,NULL,sudoku_trial,11,847539,0.0-10.0,NULL,99143,boards2x3,b,3,1
NULL,NULL,sudoku_trial,12,973618,0.0-11.0,NULL,NULL,boards2x4,a,3,
NULL,NULL,sudoku_trial,13,1000494,0.0-12.0,NULL,26873,boards2x2,b,1,1
NULL,NULL,sudoku_trial,14,1036046,0.0-13.0,NULL,35551,boards2x2,a,3,1
NULL,NULL,sudoku_trial,15,1061729,0.0-14.0,NULL,25682,boards2x2,c,0,1
2253,NULL,instructions,16,1063982,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL
11847,"{"Q0":"ryna69"}",survey-text,0,11851,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
