view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success,completed
"[{"page_index":0,"viewing_time":1917},{"page_index":1,"viewing_time":807},{"page_index":2,"viewing_time":496},{"page_index":3,"viewing_time":1024}]",4245,instructions,0,4245,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2304,survey-multi-choice,1,6552,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":548},{"page_index":1,"viewing_time":727}]",1275,instructions,2,7828,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2679,survey-multi-choice,3,10511,0.0-3.0,"{"Q0":"Yes, I solve Sudoku regularly"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,598,survey-multi-choice,4,11110,0.0-4.0-0.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1621,survey-multi-choice,5,12734,0.0-5.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,686,survey-text,6,13421,0.0-6.0-0.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1384,survey-multi-choice,7,14806,0.0-9.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2166,survey-multi-choice,8,16974,0.0-10.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1470,survey-multi-choice,9,18445,0.0-11.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1031,survey-multi-choice,10,19477,0.0-12.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,790,survey-text,11,20269,0.0-13.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,783,survey-multi-choice,12,21053,0.0-14.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,call-function,13,21055,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":1669},{"page_index":1,"viewing_time":1136},{"page_index":2,"viewing_time":1225},{"page_index":3,"viewing_time":139},{"page_index":4,"viewing_time":170},{"page_index":5,"viewing_time":148},{"page_index":6,"viewing_time":777}]",5265,instructions,14,26320,0.0-16.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,1105,html-keyboard-response,15,27425,0.0-16.0-1.0,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",67,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,16,29184,0.0-17.0,NULL,NULL,NULL,NULL,boards2x3,d,0,,1
"[{"page_index":0,"viewing_time":662}]",662,instructions,17,29847,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,18,31125,0.0-19.0,NULL,NULL,NULL,NULL,boards2x3,c,3,,1
NULL,NULL,sudoku_trial,19,32152,0.0-20.0,NULL,NULL,NULL,NULL,boards2x3,c,1,,1
NULL,NULL,sudoku_trial,20,33376,0.0-21.0,NULL,NULL,NULL,NULL,boards2x3,b,4,,1
NULL,NULL,sudoku_trial,21,34433,0.0-22.0,NULL,NULL,NULL,NULL,boards2x3,b,2,,1
NULL,NULL,sudoku_trial,22,35575,0.0-23.0,NULL,NULL,NULL,NULL,boards2x3,a,3,,1
NULL,NULL,sudoku_trial,23,36847,0.0-24.0,NULL,NULL,NULL,NULL,boards2x3,b,0,,1
"[{"page_index":0,"viewing_time":759},{"page_index":1,"viewing_time":587}]",1346,instructions,24,38193,0.0-25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":3894}]",3894,instructions,25,42087,0.0-26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":1914},{"page_index":1,"viewing_time":1033},{"page_index":2,"viewing_time":943},{"page_index":3,"viewing_time":737}]",4627,instructions,0,4628,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,8061,survey-multi-choice,1,12694,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":854},{"page_index":1,"viewing_time":1040}]",1894,instructions,2,14588,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2063,survey-multi-choice,3,16653,0.0-3.0,"{"Q0":"Yes, I solve Sudoku regularly"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1534,survey-multi-choice,4,18189,0.0-4.0-0.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1376,survey-multi-choice,5,19565,0.0-5.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,637,survey-text,6,20203,0.0-6.0-0.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1031,survey-multi-choice,7,21236,0.0-9.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1534,survey-multi-choice,8,22773,0.0-10.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1117,survey-multi-choice,9,23892,0.0-11.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1423,survey-multi-choice,10,25317,0.0-12.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,791,survey-text,11,26108,0.0-13.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,719,survey-multi-choice,12,26828,0.0-14.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,771,html-keyboard-response,17,34565,0.0-16.1-1.1,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",82,NULL,NULL,NULL,NULL,NULL,1
