view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success,completed
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":34726},{"page_index":1,"viewing_time":24243},{"page_index":2,"viewing_time":6056},{"page_index":3,"viewing_time":4890}]",69917,instructions,0,69918,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5041,survey-multi-choice,1,75025,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":17608},{"page_index":1,"viewing_time":10870},{"page_index":0,"viewing_time":2711},{"page_index":1,"viewing_time":3490}]",34679,instructions,2,109706,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,11608,survey-multi-choice,3,121317,0.0-3.0,"{"Q0":"No, I have never solved Sudoku puzzles before"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5800,survey-multi-choice,4,127118,0.0-5.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2999,survey-multi-choice,5,130120,0.0-7.0-0.0,"{"Q0":"No, I am not a student"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3074,survey-multi-choice,6,133198,0.0-9.0,"{"Q0":"Less than four years of high school"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3066,survey-multi-choice,7,136266,0.0-10.0,"{"Q0":"High school (four years or more)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3946,survey-multi-choice,8,140214,0.0-11.0,"{"Q0":"Middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2648,survey-multi-choice,9,142864,0.0-12.0,"{"Q0":"Upper middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4150,survey-text,10,147016,0.0-13.0,"{"Q0":"jkl"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3046,survey-multi-choice,11,150069,0.0-14.0,"{"Q0":"36 - 45 years of age"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,call-function,12,150070,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":5153},{"page_index":1,"viewing_time":2503},{"page_index":2,"viewing_time":2179},{"page_index":3,"viewing_time":1339},{"page_index":4,"viewing_time":1493},{"page_index":5,"viewing_time":1009},{"page_index":6,"viewing_time":3381}]",17057,instructions,13,167127,0.0-16.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,1838,html-keyboard-response,14,168966,0.0-16.0-1.0,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",67,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,15,215461,0.0-17.0,NULL,NULL,NULL,46481,boards2x3,d,0,1,1
"[{"page_index":0,"viewing_time":9172}]",9172,instructions,16,224633,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,17,283844,0.0-19.0,NULL,NULL,NULL,59205,boards2x3,b,2,1,1
NULL,NULL,sudoku_trial,18,339628,0.0-20.0,NULL,NULL,NULL,55774,boards2x3,b,0,1,1
NULL,NULL,sudoku_trial,19,394617,0.0-21.0,NULL,NULL,NULL,54974,boards2x3,b,4,1,1
NULL,NULL,sudoku_trial,20,454266,0.0-22.0,NULL,NULL,NULL,59640,boards2x3,c,3,1,1
NULL,NULL,sudoku_trial,21,519502,0.0-23.0,NULL,NULL,NULL,65223,boards2x3,a,3,1,1
NULL,NULL,sudoku_trial,22,561619,0.0-24.0,NULL,NULL,NULL,42109,boards2x3,c,1,1,1
"[{"page_index":0,"viewing_time":4337},{"page_index":1,"viewing_time":3569}]",7906,instructions,23,569528,0.0-25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":5421}]",5422,instructions,24,574950,0.0-26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":1573},{"page_index":1,"viewing_time":2867},{"page_index":2,"viewing_time":1697},{"page_index":3,"viewing_time":987}]",7125,instructions,0,7128,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4280,survey-multi-choice,1,11415,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1588},{"page_index":1,"viewing_time":1563}]",3151,instructions,2,14568,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,23611,survey-multi-choice,3,38186,0.0-3.0,"{"Q0":"Yes, I solve Sudoku occasionally"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,20854,survey-multi-choice,4,59048,0.0-4.0-0.0,"{"Q0":"Rather good"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,29613,survey-multi-choice,5,88666,0.0-5.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5624,survey-text,6,94293,0.0-6.0-0.0,"{"Q0":"History "}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,19137,survey-multi-choice,7,113436,0.0-9.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2276,survey-multi-choice,8,115718,0.0-10.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3595,survey-multi-choice,9,119319,0.0-11.0,"{"Q0":"Middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2180,survey-multi-choice,10,121504,0.0-12.0,"{"Q0":"Upper middle class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3783,survey-text,11,125290,0.0-13.0,"{"Q0":"Male"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,6774,survey-multi-choice,12,132069,0.0-14.0,"{"Q0":"36 - 45 years of age"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1522},{"page_index":1,"viewing_time":1285},{"page_index":2,"viewing_time":1214},{"page_index":3,"viewing_time":1979}]",6001,instructions,0,6003,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2841,survey-multi-choice,1,8848,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1374},{"page_index":1,"viewing_time":1420}]",2794,instructions,2,11644,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2678,survey-multi-choice,3,14324,0.0-3.0,"{"Q0":"Yes, I solve Sudoku occasionally"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2664,survey-multi-choice,4,16991,0.0-4.0-0.0,"{"Q0":"Rather good"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
